"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"PIH","1347 Property Insurance Holdings, Inc.","7.75","$46.16M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih","NASDAQ"
"TURN","180 Degree Capital Corp.","1.44","$44.5M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn","NASDAQ"
"FLWS","1-800 FLOWERS.COM, Inc.","10.3","$675.36M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws","NASDAQ"
"FCCY","1st Constitution Bancorp (NJ)","18.2","$146.1M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy","NASDAQ"
"SRCE","1st Source Corporation","45.5","$1.22B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce","NASDAQ"
"VNET","21Vianet Group, Inc.","5.48","$622.98M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet","NASDAQ"
"TWOU","2U, Inc.","42.05","$1.99B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou","NASDAQ"
"JOBS","51job, Inc.","39.76","$2.39B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs","NASDAQ"
"CAFD","8point3 Energy Partners LP","12.21","$965.53M","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd","NASDAQ"
"EGHT","8x8 Inc","15.1","$1.37B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght","NASDAQ"
"AVHI","A V Homes, Inc.","15.9","$357.92M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi","NASDAQ"
"SHLM","A. Schulman, Inc.","30.2","$890.51M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm","NASDAQ"
"AAON","AAON, Inc.","35.275","$1.86B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon","NASDAQ"
"ABAX","ABAXIS, Inc.","47.76","$1.08B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax","NASDAQ"
"ABEO","Abeona Therapeutics Inc.","4.9","$197.25M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo","NASDAQ"
"ABEOW","Abeona Therapeutics Inc.","2.8159","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow","NASDAQ"
"ABIL","Ability Inc.","1.35","$34.77M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil","NASDAQ"
"ABMD","ABIOMED, Inc.","125.88","$5.48B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd","NASDAQ"
"AXAS","Abraxas Petroleum Corporation","2.18","$357.18M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas","NASDAQ"
"ACIU","AC Immune SA","10.168","$578.79M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu","NASDAQ"
"ACIA","Acacia Communications, Inc.","54.6","$2.11B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia","NASDAQ"
"ACTG","Acacia Research Corporation","5.45","$275.04M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg","NASDAQ"
"ACHC","Acadia Healthcare Company, Inc.","43.31","$3.79B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc","NASDAQ"
"ACAD","ACADIA Pharmaceuticals Inc.","32.91","$4B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad","NASDAQ"
"ACST","Acasti Pharma, Inc.","1.32","$19.41M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst","NASDAQ"
"AXDX","Accelerate Diagnostics, Inc.","24.25","$1.26B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx","NASDAQ"
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/accp","NASDAQ"
"XLRN","Acceleron Pharma Inc.","26.44","$1.02B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn","NASDAQ"
"ANCX","Access National Corporation","28.5","$306.85M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx","NASDAQ"
"ARAY","Accuray Incorporated","4.95","$410.34M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray","NASDAQ"
"ACRX","AcelRx Pharmaceuticals, Inc.","2.75","$124.68M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx","NASDAQ"
"ACET","Aceto Corporation","15.38","$463.15M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet","NASDAQ"
"AKAO","Achaogen, Inc.","21.8","$780.04M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao","NASDAQ"
"ACHN","Achillion Pharmaceuticals, Inc.","3.675","$502.45M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn","NASDAQ"
"ACIW","ACI Worldwide, Inc.","21.14","$2.48B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw","NASDAQ"
"ACRS","Aclaris Therapeutics, Inc.","31.84","$830.67M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs","NASDAQ"
"ACNB","ACNB Corporation","30","$181.92M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb","NASDAQ"
"ACOR","Acorda Therapeutics, Inc.","17","$788.93M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor","NASDAQ"
"SQZZ","Active Alts Contrarian ETF","25.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqzz","NASDAQ"
"ATVI","Activision Blizzard, Inc","49.08","$36.9B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi","NASDAQ"
"ACTA","Actua Corporation","14.05","$478.45M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta","NASDAQ"
"ACXM","Acxiom Corporation","28.12","$2.2B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm","NASDAQ"
"ADMS","Adamas Pharmaceuticals, Inc.","16.25","$361.07M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms","NASDAQ"
"ADMP","Adamis Pharmaceuticals Corporation","4.525","$102.42M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp","NASDAQ"
"ADAP","Adaptimmune Therapeutics plc","5.8","$497.64M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap","NASDAQ"
"ADUS","Addus HomeCare Corporation","32.15","$370.67M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus","NASDAQ"
"AEY","ADDvantage Technologies Group, Inc.","1.85","$18.75M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey","NASDAQ"
"IOTS","Adesto Technologies Corporation","4","$62.93M","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots","NASDAQ"
"ADMA","ADMA Biologics Inc","4.58","$59.02M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma","NASDAQ"
"ADBE","Adobe Systems Incorporated","129.95","$64.29B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe","NASDAQ"
"ADTN","ADTRAN, Inc.","20","$966.11M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn","NASDAQ"
"ADRO","Aduro Biotech, Inc.","9.35","$635.78M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro","NASDAQ"
"AAAP","Advanced Accelerator Applications S.A.","38.08","$1.67B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap","NASDAQ"
"ADES","Advanced Emissions Solutions, Inc.","8.96","$197.32M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades","NASDAQ"
"AEIS","Advanced Energy Industries, Inc.","66.48","$2.64B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis","NASDAQ"
"AMD","Advanced Micro Devices, Inc.","13.1","$12.33B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd","NASDAQ"
"ADXS","Advaxis, Inc.","7.79","$313.9M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs","NASDAQ"
"ADXSW","Advaxis, Inc.","3.9697","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw","NASDAQ"
"ADVM","Adverum Biotechnologies, Inc.","2.7","$113.57M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm","NASDAQ"
"MAUI","AdvisorShares Market Adaptive Unconstrained Income ETF","24.29","$1.21M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/maui","NASDAQ"
"AEGN","Aegion Corp","23.25","$785.44M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn","NASDAQ"
"AGLE","Aeglea BioTherapeutics, Inc.","6.86","$92.28M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agle","NASDAQ"
"AEHR","Aehr Test Systems","4.01","$66.74M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr","NASDAQ"
"AMTX","Aemetis, Inc","1.201","$23.66M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx","NASDAQ"
"AERI","Aerie Pharmaceuticals, Inc.","43.2","$1.45B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri","NASDAQ"
"AVAV","AeroVironment, Inc.","28.36","$665.19M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav","NASDAQ"
"AEZS","AEterna Zentaris Inc.","2.9","$40.03M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs","NASDAQ"
"AEMD","Aethlon Medical, Inc.","2.77","$24.36M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd","NASDAQ"
"GNMX","Aevi Genomic Medicine, Inc.","1.615","$59.93M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnmx","NASDAQ"
"AFMD","Affimed N.V.","2.4","$105.45M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd","NASDAQ"
"AGEN","Agenus Inc.","3.25","$319.57M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen","NASDAQ"
"AGRX","Agile Therapeutics, Inc.","3.105","$89.35M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx","NASDAQ"
"AGYS","Agilysys, Inc.","9.43","$219.05M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys","NASDAQ"
"AGIO","Agios Pharmaceuticals, Inc.","53.73","$2.27B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio","NASDAQ"
"AGNC","AGNC Investment Corp.","20.1","$6.65B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc","NASDAQ"
"AGNCB","AGNC Investment Corp.","25.7","$8.9B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb","NASDAQ"
"AGNCP","AGNC Investment Corp.","25.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp","NASDAQ"
"AGFS","AgroFresh Solutions, Inc.","5","$253.52M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs","NASDAQ"
"AGFSW","AgroFresh Solutions, Inc.","0.44","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw","NASDAQ"
"AIMT","Aimmune Therapeutics, Inc.","19.72","$990.92M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt","NASDAQ"
"AIRM","Air Methods Corporation","42.925","$1.56B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm","NASDAQ"
"AIRT","Air T, Inc.","19.65","$40.14M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt","NASDAQ"
"ATSG","Air Transport Services Group, Inc","16.65","$992.13M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg","NASDAQ"
"AIRG","Airgain, Inc.","15.3","$143.4M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/airg","NASDAQ"
"AMCN","AirMedia Group Inc","3.133","$194.87M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn","NASDAQ"
"AKAM","Akamai Technologies, Inc.","58.99","$10.24B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam","NASDAQ"
"AKTX","Akari Therapeutics Plc","17.15","$201.97M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx","NASDAQ"
"AKBA","Akebia Therapeutics, Inc.","9.2","$357.23M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba","NASDAQ"
"AKER","Akers Biosciences Inc","1.775","$12.85M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker","NASDAQ"
"AKRX","Akorn, Inc.","32.76","$4.08B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx","NASDAQ"
"AKTS","Akoustis Technologies, Inc.","10.9","$198.06M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/akts","NASDAQ"
"ALRM","Alarm.com Holdings, Inc.","30.84","$1.43B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm","NASDAQ"
"ALSK","Alaska Communications Systems Group, Inc.","1.95","$101.31M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk","NASDAQ"
"AMRI","Albany Molecular Research, Inc.","14.34","$615.77M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri","NASDAQ"
"ALBO","Albireo Pharma, Inc.","22.9208","$144.23M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/albo","NASDAQ"
"ABDC","Alcentra Capital Corp.","14.02","$189.22M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc","NASDAQ"
"ADHD","Alcobra Ltd.","1.12","$30.87M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd","NASDAQ"
"ALDR","Alder BioPharmaceuticals, Inc.","19.8","$998.1M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr","NASDAQ"
"ALDX","Aldeyra Therapeutics, Inc.","4.95","$74.9M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx","NASDAQ"
"ALXN","Alexion Pharmaceuticals, Inc.","116.95","$26.33B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn","NASDAQ"
"ALCO","Alico, Inc.","27.5","$229.1M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco","NASDAQ"
"ALGN","Align Technology, Inc.","114.85","$9.23B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn","NASDAQ"
"ALIM","Alimera Sciences, Inc.","1.435","$93.08M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim","NASDAQ"
"ALJJ","ALJ Regional Holdings, Inc.","3.49","$120.67M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj","NASDAQ"
"ALKS","Alkermes plc","56.99","$8.69B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks","NASDAQ"
"ABTX","Allegiance Bancshares, Inc.","38.35","$503.75M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx","NASDAQ"
"ALGT","Allegiant Travel Company","154.5","$2.57B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt","NASDAQ"
"AIQ","Alliance HealthCare Services, Inc.","12.75","$137.87M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq","NASDAQ"
"AHGP","Alliance Holdings GP, L.P.","28.43","$1.7B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp","NASDAQ"
"AMMA","Alliance MMA, Inc.","2.666","$24.05M","2016","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/amma","NASDAQ"
"ARLP","Alliance Resource Partners, L.P.","22.4","$1.67B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp","NASDAQ"
"AHPI","Allied Healthcare Products, Inc.","1.98","$7.95M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi","NASDAQ"
"AMOT","Allied Motion Technologies, Inc.","21.43","$200.89M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot","NASDAQ"
"ALQA","Alliqua BioMedical, Inc.","0.456","$20.79M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa","NASDAQ"
"ALLT","Allot Communications Ltd.","4.79","$158.62M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt","NASDAQ"
"MDRX","Allscripts Healthcare Solutions, Inc.","12.44","$2.25B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx","NASDAQ"
"AFAM","Almost Family Inc","47.2","$655.15M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam","NASDAQ"
"ALNY","Alnylam Pharmaceuticals, Inc.","48.87","$4.21B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny","NASDAQ"
"AOSL","Alpha and Omega Semiconductor Limited","16.69","$393.98M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl","NASDAQ"
"GOOG","Alphabet Inc.","823.5","$569.38B","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog","NASDAQ"
"GOOGL","Alphabet Inc.","840.03","$580.81B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl","NASDAQ"
"SMCP","AlphaMark Actively Managed Small Cap ETF","23.9761","$26.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp","NASDAQ"
"ATEC","Alphatec Holdings, Inc.","2.18","$23.61M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec","NASDAQ"
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","25.83","$5.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/swin","NASDAQ"
"ASPS","Altisource Portfolio Solutions S.A.","41.7","$768.4M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps","NASDAQ"
"AIMC","Altra Industrial Motion Corp.","38.55","$1.13B","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc","NASDAQ"
"AMAG","AMAG Pharmaceuticals, Inc.","23","$803.61M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag","NASDAQ"
"AMRN","Amarin Corporation plc","3.13","$851.55M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn","NASDAQ"
"AMRK","A-Mark Precious Metals, Inc.","17.91","$125.93M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk","NASDAQ"
"AYA","Amaya Inc.","16.925","$2.47B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya","NASDAQ"
"AMZN","Amazon.com, Inc.","902.79","$430.78B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn","NASDAQ"
"AMBC","Ambac Financial Group, Inc.","19.75","$893.27M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc","NASDAQ"
"AMBCW","Ambac Financial Group, Inc.","10","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw","NASDAQ"
"AMBA","Ambarella, Inc.","53.05","$1.78B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba","NASDAQ"
"AMCX","AMC Networks Inc.","59.73","$4.05B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx","NASDAQ"
"DOX","Amdocs Limited","61.19","$8.98B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox","NASDAQ"
"AMDA","Amedica Corporation","0.3851","$13.97M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda","NASDAQ"
"AMED","Amedisys Inc","53","$1.78B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed","NASDAQ"
"UHAL","Amerco","364.89","$7.15B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal","NASDAQ"
"ATAX","America First Multifamily Investors, L.P.","5.6","$337.26M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax","NASDAQ"
"AMOV","America Movil, S.A.B. de C.V.","14.53","$47.63B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov","NASDAQ"
"AAL","American Airlines Group, Inc.","43.935","$22.15B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal","NASDAQ"
"ACSF","American Capital Senior Floating, Ltd.","13.65","$136.5M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf","NASDAQ"
"AETI","American Electric Technologies, Inc.","1.7527","$14.61M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti","NASDAQ"
"AMNB","American National Bankshares, Inc.","36.9","$318.77M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb","NASDAQ"
"ANAT","American National Insurance Company","115.71","$3.12B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat","NASDAQ"
"AOBC","American Outdoor Brands Corporation","21.93","$1.25B","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc","NASDAQ"
"APEI","American Public Education, Inc.","22.45","$364.14M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei","NASDAQ"
"ARII","American Railcar Industries, Inc.","43.44","$829M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii","NASDAQ"
"AMRB","American River Bankshares","15.14","$101.13M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb","NASDAQ"
"AMSWA","American Software, Inc.","10.74","$316.51M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa","NASDAQ"
"AMSC","American Superconductor Corporation","6.97","$99.11M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc","NASDAQ"
"AMWD","American Woodmark Corporation","89.5","$1.45B","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd","NASDAQ"
"CRMT","America&#39;s Car-Mart, Inc.","36.05","$281.09M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt","NASDAQ"
"ABCB","Ameris Bancorp","44.9","$1.67B","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb","NASDAQ"
"AMSF","AMERISAFE, Inc.","64.2","$1.23B","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf","NASDAQ"
"ASRV","AmeriServ Financial Inc.","3.9","$73.47M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv","NASDAQ"
"ASRVP","AmeriServ Financial Inc.","26.95","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp","NASDAQ"
"ATLO","Ames National Corporation","31.2","$290.5M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo","NASDAQ"
"AMGN","Amgen Inc.","163.16","$120.07B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn","NASDAQ"
"FOLD","Amicus Therapeutics, Inc.","6.98","$996.33M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold","NASDAQ"
"AMKR","Amkor Technology, Inc.","11.2","$2.68B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr","NASDAQ"
"AMPH","Amphastar Pharmaceuticals, Inc.","14.67","$673.5M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph","NASDAQ"
"IBUY","Amplify Online Retail ETF","30.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibuy","NASDAQ"
"ASYS","Amtech Systems, Inc.","5.42","$71.43M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys","NASDAQ"
"AFSI","AmTrust Financial Services, Inc.","15.31","$2.62B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi","NASDAQ"
"AMRS","Amyris, Inc.","0.4805","$126.38M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs","NASDAQ"
"ADI","Analog Devices, Inc.","78.08","$28.51B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi","NASDAQ"
"ALOG","Analogic Corporation","72.9","$910.46M","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog","NASDAQ"
"ANAB","AnaptysBio, Inc.","25.01","$504.55M","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anab","NASDAQ"
"AVXL","Anavex Life Sciences Corp.","6.305","$260.88M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/avxl","NASDAQ"
"ANCB","Anchor Bancorp","25.0948","$62.86M","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb","NASDAQ"
"ANDA","Andina Acquisition Corp. II","10.11","$53.68M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/anda","NASDAQ"
"ANDAR","Andina Acquisition Corp. II","0.5203","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andar","NASDAQ"
"ANDAU","Andina Acquisition Corp. II","10.89","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andau","NASDAQ"
"ANDAW","Andina Acquisition Corp. II","0.29","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andaw","NASDAQ"
"ANGI","Angie&#39;s List, Inc.","5.655","$336.07M","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi","NASDAQ"
"ANGO","AngioDynamics, Inc.","15.81","$581.63M","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango","NASDAQ"
"ANIP","ANI Pharmaceuticals, Inc.","50.91","$590.58M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip","NASDAQ"
"ANIK","Anika Therapeutics Inc.","43.36","$634.74M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik","NASDAQ"
"ANSS","ANSYS, Inc.","105.94","$9.06B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss","NASDAQ"
"ATRS","Antares Pharma, Inc.","2.8","$434.68M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs","NASDAQ"
