"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"III","Information Services Group, Inc.","3.12","$131.89M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/iii","NASDAQ"
"IFON","InfoSonics Corp","0.51","$7.34M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/ifon","NASDAQ"
"IMKTA","Ingles Markets, Incorporated","45.2","$915.74M","1987","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/imkta","NASDAQ"
"INWK","InnerWorkings, Inc.","10","$551.15M","2006","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/inwk","NASDAQ"
"INNL","Innocoll Holdings","1.965","$783.29M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl","NASDAQ"
"INOD","Innodata Inc.","2.05","$52.53M","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/inod","NASDAQ"
"IPHS","Innophos Holdings, Inc.","46.15","$899.09M","2006","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/iphs","NASDAQ"
"IOSP","Innospec Inc.","62.95","$1.55B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/iosp","NASDAQ"
"ISSC","Innovative Solutions and Support, Inc.","3.09","$51.86M","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/issc","NASDAQ"
"INVA","Innoviva, Inc.","14.435","$1.58B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/inva","NASDAQ"
"INGN","Inogen, Inc","76.84","$1.58B","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ingn","NASDAQ"
"ITEK","Inotek Pharmaceuticals Corporation","1.9","$51.27M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itek","NASDAQ"
"INOV","Inovalon Holdings, Inc.","12.9","$1.91B","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/inov","NASDAQ"
"INO","Inovio Pharmaceuticals, Inc.","6.15","$457.09M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ino","NASDAQ"
"INPX","Inpixon ","2.75","$4.99M","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/inpx","NASDAQ"
"INSG","Inseego Corp.","2.27","$127.02M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/insg","NASDAQ"
"NSIT","Insight Enterprises, Inc.","41.71","$1.49B","1995","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/nsit","NASDAQ"
"ISIG","Insignia Systems, Inc.","1.3","$15.16M","1991","Consumer Services","Advertising","http://www.nasdaq.com/symbol/isig","NASDAQ"
"INSM","Insmed, Inc.","16.8","$1.04B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insm","NASDAQ"
"INSE","Inspired Entertainment, Inc.","10.35","$232.04M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inse","NASDAQ"
"INSEW","Inspired Entertainment, Inc.","0.72","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/insew","NASDAQ"
